NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,0.20,306,IPCA dessazonalizado - Variação mensal,201703,março 2017,1,Brasil
1,Brasil,2,%,0.11,306,IPCA dessazonalizado - Variação mensal,201704,abril 2017,1,Brasil
1,Brasil,2,%,0.37,306,IPCA dessazonalizado - Variação mensal,201705,maio 2017,1,Brasil
1,Brasil,2,%,-0.12,306,IPCA dessazonalizado - Variação mensal,201706,junho 2017,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,201707,julho 2017,1,Brasil
1,Brasil,2,%,0.23,306,IPCA dessazonalizado - Variação mensal,201708,agosto 2017,1,Brasil
1,Brasil,2,%,0.20,306,IPCA dessazonalizado - Variação mensal,201709,setembro 2017,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201710,outubro 2017,1,Brasil
1,Brasil,2,%,0.21,306,IPCA dessazonalizado - Variação mensal,201711,novembro 2017,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,201712,dezembro 2017,1,Brasil
1,Brasil,2,%,0.20,306,IPCA dessazonalizado - Variação mensal,201801,janeiro 2018,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,201802,fevereiro 2018,1,Brasil
1,Brasil,2,%,0.03,306,IPCA dessazonalizado - Variação mensal,201803,março 2018,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,201804,abril 2018,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,201805,maio 2018,1,Brasil
1,Brasil,2,%,1.35,306,IPCA dessazonalizado - Variação mensal,201806,junho 2018,1,Brasil
1,Brasil,2,%,0.41,306,IPCA dessazonalizado - Variação mensal,201807,julho 2018,1,Brasil
1,Brasil,2,%,0.00,306,IPCA dessazonalizado - Variação mensal,201808,agosto 2018,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,201809,setembro 2018,1,Brasil
1,Brasil,2,%,0.42,306,IPCA dessazonalizado - Variação mensal,201810,outubro 2018,1,Brasil
1,Brasil,2,%,-0.27,306,IPCA dessazonalizado - Variação mensal,201811,novembro 2018,1,Brasil
1,Brasil,2,%,0.12,306,IPCA dessazonalizado - Variação mensal,201812,dezembro 2018,1,Brasil
1,Brasil,2,%,0.22,306,IPCA dessazonalizado - Variação mensal,201901,janeiro 2019,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,201902,fevereiro 2019,1,Brasil
1,Brasil,2,%,0.67,306,IPCA dessazonalizado - Variação mensal,201903,março 2019,1,Brasil
1,Brasil,2,%,0.52,306,IPCA dessazonalizado - Variação mensal,201904,abril 2019,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,201905,maio 2019,1,Brasil
1,Brasil,2,%,0.10,306,IPCA dessazonalizado - Variação mensal,201906,junho 2019,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,201907,julho 2019,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,201908,agosto 2019,1,Brasil
